,Fecha,Strike,volat impli
0,24/06/2022,7800.0,32.71484375
1,24/06/2022,7900.0,31.005859375
2,24/06/2022,8000.0,25.93994140625
3,24/06/2022,8100.0,52.18505859375
4,24/06/2022,8200.0,1e-05
5,24/06/2022,8300.0,1e-05
6,24/06/2022,8400.0,1e-05
7,24/06/2022,8500.0,1e-05
8,24/06/2022,8600.0,1e-05
9,24/06/2022,8700.0,1e-05
10,24/06/2022,8800.0,1e-05
11,24/06/2022,8900.0,1e-05
0,01/07/2022,7200.0,35.400390625
1,01/07/2022,7300.0,33.69140625
2,01/07/2022,7400.0,32.470703125
3,01/07/2022,7500.0,31.06689453125
4,01/07/2022,7600.0,30.303955078125
5,01/07/2022,7700.0,28.86962890625
6,01/07/2022,7800.0,27.28271484375
7,01/07/2022,7900.0,25.909423828125
8,01/07/2022,8000.0,24.0478515625
9,01/07/2022,8100.0,28.5186767578125
10,01/07/2022,8200.0,18.9208984375
11,01/07/2022,8300.0,11.962890625
12,01/07/2022,8400.0,1e-05
13,01/07/2022,8500.0,1e-05
14,01/07/2022,8600.0,1e-05
15,01/07/2022,8700.0,1e-05
16,01/07/2022,8800.0,1e-05
17,01/07/2022,8900.0,1e-05
18,01/07/2022,9000.0,1e-05
0,08/07/2022,7200.0,33.8134765625
1,08/07/2022,7300.0,32.71484375
2,08/07/2022,7400.0,31.8603515625
3,08/07/2022,7500.0,30.8837890625
4,08/07/2022,7600.0,30.181884765625
5,08/07/2022,7700.0,28.99169921875
6,08/07/2022,7800.0,28.0609130859375
7,08/07/2022,7900.0,27.1148681640625
8,08/07/2022,8000.0,26.092529296875
9,08/07/2022,8100.0,25.2685546875
10,08/07/2022,8200.0,24.505615234375
11,08/07/2022,8300.0,23.773193359375
12,08/07/2022,8400.0,22.918701171875
13,08/07/2022,8500.0,22.15576171875
14,08/07/2022,8600.0,21.3623046875
15,08/07/2022,8700.0,20.3857421875
16,08/07/2022,8800.0,19.775390625
17,08/07/2022,8900.0,20.01953125
18,08/07/2022,9000.0,15.625
0,15/07/2022,7000.0,35.64453125
1,15/07/2022,7200.0,33.50830078125
2,15/07/2022,7300.0,32.5927734375
3,15/07/2022,7400.0,31.6925048828125
4,15/07/2022,7500.0,30.670166015625
5,15/07/2022,7600.0,29.8614501953125
6,15/07/2022,7700.0,28.8848876953125
7,15/07/2022,7800.0,27.9998779296875
8,15/07/2022,7900.0,27.03857421875
9,15/07/2022,8000.0,26.0467529296875
10,15/07/2022,8100.0,25.1617431640625
11,15/07/2022,8200.0,24.66583251953125
12,15/07/2022,8300.0,24.0325927734375
13,15/07/2022,8400.0,23.529052734375
14,15/07/2022,8500.0,22.9949951171875
0,19/08/2022,6800.0,34.393310546875
1,19/08/2022,6900.0,33.782958984375
2,19/08/2022,7000.0,32.958984375
3,19/08/2022,7200.0,31.3873291015625
4,19/08/2022,7300.0,30.57861328125
5,19/08/2022,7400.0,29.876708984375
6,19/08/2022,7500.0,29.1290283203125
7,19/08/2022,7600.0,28.3050537109375
8,19/08/2022,7700.0,27.5726318359375
9,19/08/2022,7800.0,26.79443359375
10,19/08/2022,7900.0,25.9552001953125
11,19/08/2022,8000.0,25.2532958984375
12,19/08/2022,8100.0,24.5819091796875
13,19/08/2022,8200.0,24.14703369140625
14,19/08/2022,8300.0,23.70452880859375
15,19/08/2022,8400.0,23.32305908203125
16,19/08/2022,8500.0,22.85003662109375
17,19/08/2022,8600.0,22.46856689453125
18,19/08/2022,8700.0,22.0184326171875
19,19/08/2022,8800.0,21.62933349609375
0,16/09/2022,7200.0,30.2276611328125
1,16/09/2022,7300.0,29.60968017578125
2,16/09/2022,7400.0,28.89251708984375
3,16/09/2022,7500.0,28.16009521484375
4,16/09/2022,7600.0,27.47344970703125
5,16/09/2022,7700.0,26.80206298828125
6,16/09/2022,7800.0,26.06201171875
7,16/09/2022,7900.0,25.371551513671875
8,16/09/2022,8000.0,24.71160888671875
9,16/09/2022,8100.0,24.05548095703125
10,16/09/2022,8200.0,23.777008056640625
11,16/09/2022,8300.0,23.4222412109375
12,16/09/2022,8400.0,23.10943603515625
13,16/09/2022,8500.0,22.785186767578125
14,16/09/2022,8600.0,22.4456787109375
15,16/09/2022,8700.0,22.1099853515625
16,16/09/2022,8800.0,21.8658447265625
17,16/09/2022,8900.0,21.49200439453125
18,16/09/2022,9000.0,21.270751953125
0,16/12/2022,5000.0,42.572021484375
1,16/12/2022,7200.0,29.15191650390625
2,16/12/2022,7300.0,28.5491943359375
3,16/12/2022,7400.0,27.9083251953125
4,16/12/2022,7500.0,27.33612060546875
5,16/12/2022,7600.0,26.767730712890625
6,16/12/2022,7700.0,26.14593505859375
7,16/12/2022,7800.0,25.61187744140625
8,16/12/2022,7900.0,25.012969970703125
9,16/12/2022,8000.0,24.48272705078125
10,16/12/2022,8100.0,24.234771728515625
11,16/12/2022,8200.0,24.082183837890625
12,16/12/2022,8300.0,23.93341064453125
13,16/12/2022,8400.0,23.79608154296875
14,16/12/2022,8500.0,23.6663818359375
15,16/12/2022,8600.0,23.548126220703125
16,16/12/2022,8700.0,23.44512939453125
17,16/12/2022,8800.0,23.365020751953125
18,16/12/2022,8900.0,23.3154296875
19,16/12/2022,9000.0,23.303985595703125
0,17/03/2023,7200.0,28.1829833984375
1,17/03/2023,7300.0,27.6336669921875
2,17/03/2023,7400.0,27.06146240234375
3,17/03/2023,7500.0,26.515960693359375
4,17/03/2023,7600.0,25.943756103515625
5,17/03/2023,7700.0,25.421142578125
6,17/03/2023,7800.0,24.868011474609375
7,17/03/2023,7900.0,24.35302734375
8,17/03/2023,8000.0,23.946762084960938
9,17/03/2023,8100.0,23.860931396484375
10,17/03/2023,8200.0,23.79608154296875
11,17/03/2023,8300.0,23.71978759765625
12,17/03/2023,8400.0,23.632049560546875
13,17/03/2023,8500.0,23.609161376953125
14,17/03/2023,8600.0,23.5748291015625
15,17/03/2023,8700.0,23.540496826171875
16,17/03/2023,8800.0,23.53668212890625
17,17/03/2023,8900.0,23.49853515625
18,17/03/2023,9000.0,23.540496826171875
0,16/06/2023,7200.0,27.22930908203125
1,16/06/2023,7300.0,26.676177978515625
2,16/06/2023,7400.0,26.149749755859375
3,16/06/2023,7500.0,25.61187744140625
4,16/06/2023,7600.0,25.096893310546875
5,16/06/2023,7700.0,24.593353271484375
6,16/06/2023,7800.0,24.105072021484375
7,16/06/2023,7900.0,23.8189697265625
8,16/06/2023,8000.0,22.42279052734375
9,16/06/2023,8100.0,23.815155029296875
10,16/06/2023,8200.0,23.84185791015625
11,16/06/2023,8300.0,23.868560791015625
12,16/06/2023,8400.0,23.92578125
13,16/06/2023,8500.0,23.98681640625
14,16/06/2023,8600.0,24.051666259765625
15,16/06/2023,8700.0,24.1546630859375
16,16/06/2023,8800.0,24.234771728515625
17,16/06/2023,8900.0,24.36065673828125
18,16/06/2023,9000.0,24.471282958984375
0,15/09/2023,7200.0,26.26800537109375
1,15/09/2023,7300.0,25.791168212890625
2,15/09/2023,7400.0,25.310516357421875
3,15/09/2023,7500.0,24.820327758789062
4,15/09/2023,7600.0,24.383544921875
5,15/09/2023,7700.0,23.931503295898438
6,15/09/2023,7800.0,23.58245849609375
7,15/09/2023,7900.0,23.616790771484375
8,15/09/2023,8000.0,21.411895751953125
9,15/09/2023,8100.0,23.744583129882812
10,15/09/2023,8200.0,23.813247680664062
11,15/09/2023,8300.0,23.914337158203125
12,15/09/2023,8400.0,23.99444580078125
13,15/09/2023,8500.0,24.110794067382812
14,15/09/2023,8600.0,24.20806884765625
15,15/09/2023,8700.0,24.347305297851562
16,15/09/2023,8800.0,24.471282958984375
17,15/09/2023,8900.0,24.639129638671875
18,15/09/2023,9000.0,24.7955322265625
